epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,18920.4,2.52342,1.41746,1.17263,0.47995,0.47305,0.38454,0.10551,2.69743,1.63834,1.32011,0.0044259,0.0014753,0.0044259,0.0014753,0.0044259,0.0014753,0.0044259,0.0014753
55,19258.1,2.54683,1.44607,1.17769,0.48791,0.50002,0.40768,0.10834,2.6788,1.60897,1.30779,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
56,19597.7,2.51707,1.40238,1.1703,0.52863,0.51076,0.43594,0.11948,2.71632,1.5908,1.31718,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555
57,19939.8,2.50735,1.35763,1.15962,0.49596,0.48324,0.37909,0.10041,2.71598,1.59616,1.32115,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
58,20285.1,2.50088,1.36534,1.15429,0.51174,0.50241,0.41942,0.1169,2.70369,1.56981,1.32484,0.0043071,0.0014357,0.0043071,0.0014357,0.0043071,0.0014357,0.0043071,0.0014357
59,20619.5,2.49694,1.36676,1.15882,0.54747,0.51243,0.44518,0.1238,2.71152,1.55607,1.32078,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
60,20973.6,2.50495,1.35896,1.15965,0.50168,0.4835,0.39494,0.10589,2.74905,1.62361,1.33401,0.0042477,0.0014159,0.0042477,0.0014159,0.0042477,0.0014159,0.0042477,0.0014159
61,21324.5,2.49652,1.33762,1.16064,0.50806,0.49101,0.39558,0.10585,2.72788,1.60838,1.31247,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
62,21678.5,2.48432,1.33928,1.1512,0.52161,0.5016,0.41321,0.11271,2.7632,1.63142,1.33609,0.0041883,0.0013961,0.0041883,0.0013961,0.0041883,0.0013961,0.0041883,0.0013961
63,22029.6,2.49863,1.3421,1.16021,0.48141,0.48711,0.36879,0.09966,2.74042,1.61143,1.3331,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
64,22354,2.47504,1.33374,1.14874,0.55488,0.51833,0.46168,0.13028,2.71225,1.58046,1.31717,0.0041289,0.0013763,0.0041289,0.0013763,0.0041289,0.0013763,0.0041289,0.0013763
65,22638.8,2.49327,1.33325,1.15186,0.53324,0.50781,0.42214,0.11627,2.72705,1.57409,1.32364,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
66,22970.8,2.46163,1.31719,1.14574,0.57426,0.53167,0.47124,0.13094,2.73799,1.54692,1.32854,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565
67,23297.7,2.47659,1.31853,1.14378,0.56287,0.5317,0.45531,0.12447,2.73339,1.5296,1.33153,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
68,23631.6,2.44489,1.3117,1.15018,0.57125,0.52744,0.46004,0.12777,2.80388,1.54549,1.3683,0.0040101,0.0013367,0.0040101,0.0013367,0.0040101,0.0013367,0.0040101,0.0013367
69,23959.6,2.45328,1.31158,1.14561,0.56337,0.52056,0.46068,0.1272,2.76805,1.53698,1.34455,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
70,24290.4,2.43317,1.29067,1.14525,0.54511,0.50434,0.43162,0.11881,2.79623,1.59079,1.37378,0.0039507,0.0013169,0.0039507,0.0013169,0.0039507,0.0013169,0.0039507,0.0013169
71,24621.3,2.42943,1.27744,1.13573,0.55822,0.52328,0.44974,0.12344,2.77417,1.54232,1.34174,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
72,24952.2,2.43897,1.28463,1.13517,0.54082,0.51946,0.44104,0.12032,2.75319,1.5589,1.33795,0.0038913,0.0012971,0.0038913,0.0012971,0.0038913,0.0012971,0.0038913,0.0012971
73,25281.3,2.42581,1.26798,1.13195,0.55317,0.51709,0.43167,0.11605,2.80339,1.50577,1.36516,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
74,25607.8,2.42228,1.25922,1.13329,0.55969,0.52692,0.45222,0.12279,2.78582,1.52622,1.34964,0.0038319,0.0012773,0.0038319,0.0012773,0.0038319,0.0012773,0.0038319,0.0012773
75,25934.1,2.40604,1.25494,1.13197,0.57427,0.52574,0.46947,0.13077,2.76868,1.53193,1.35714,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
76,26263.1,2.42068,1.24736,1.13037,0.52798,0.4954,0.41768,0.11378,2.77349,1.53808,1.34451,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575
77,26591.8,2.40088,1.25269,1.12308,0.5668,0.52334,0.46176,0.12908,2.73197,1.56453,1.32301,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
78,26925.2,2.41175,1.25733,1.13984,0.53145,0.50431,0.41778,0.11357,2.80589,1.54489,1.36611,0.0037131,0.0012377,0.0037131,0.0012377,0.0037131,0.0012377,0.0037131,0.0012377
79,27255.2,2.39889,1.24549,1.12296,0.53977,0.51403,0.43198,0.114,2.85033,1.53134,1.36125,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
80,27585.4,2.4088,1.26495,1.1204,0.56184,0.52624,0.46855,0.13211,2.75781,1.5519,1.34169,0.0036537,0.0012179,0.0036537,0.0012179,0.0036537,0.0012179,0.0036537,0.0012179
81,27918.2,2.39229,1.24983,1.12303,0.48195,0.48995,0.38155,0.10283,2.80018,1.60725,1.33943,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
82,28248.5,2.40172,1.26148,1.13072,0.47307,0.47646,0.36831,0.09709,2.78245,1.60994,1.32611,0.0035943,0.0011981,0.0035943,0.0011981,0.0035943,0.0011981,0.0035943,0.0011981
83,28583,2.39014,1.23818,1.13223,0.53244,0.50808,0.42272,0.11185,2.80619,1.52574,1.33768,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
84,28920.5,2.37501,1.22958,1.12227,0.54515,0.51928,0.44977,0.1245,2.76512,1.54911,1.34064,0.0035349,0.0011783,0.0035349,0.0011783,0.0035349,0.0011783,0.0035349,0.0011783
85,29253.2,2.38335,1.22133,1.12402,0.52668,0.5075,0.42388,0.11583,2.77415,1.56109,1.34461,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
86,29585,2.37472,1.2193,1.11736,0.55067,0.51691,0.45046,0.1209,2.81226,1.54118,1.34958,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585
87,29938.1,2.36645,1.21777,1.12392,0.55294,0.52226,0.44362,0.11916,2.80334,1.50248,1.35566,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
88,30291.4,2.35825,1.20476,1.11896,0.56958,0.52616,0.46188,0.12836,2.80535,1.51783,1.36028,0.0034161,0.0011387,0.0034161,0.0011387,0.0034161,0.0011387,0.0034161,0.0011387
89,30647.9,2.34395,1.19252,1.11173,0.56736,0.51997,0.45028,0.12281,2.7907,1.55299,1.35313,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
90,31000.5,2.35184,1.18606,1.11012,0.54014,0.50906,0.426,0.11264,2.84129,1.51813,1.36611,0.0033567,0.0011189,0.0033567,0.0011189,0.0033567,0.0011189,0.0033567,0.0011189
91,31344.4,2.33453,1.18966,1.11013,0.58167,0.52996,0.47443,0.13101,2.77978,1.48766,1.34086,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
92,31658.7,2.34235,1.18542,1.10931,0.53335,0.50854,0.42999,0.11612,2.84548,1.53085,1.3573,0.0032973,0.0010991,0.0032973,0.0010991,0.0032973,0.0010991,0.0032973,0.0010991
93,31968.8,2.33347,1.18612,1.1122,0.56238,0.52823,0.46771,0.12699,2.7917,1.49818,1.34055,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
94,32273.6,2.34336,1.20212,1.12301,0.53583,0.51253,0.43212,0.11753,2.81539,1.52904,1.35452,0.0032379,0.0010793,0.0032379,0.0010793,0.0032379,0.0010793,0.0032379,0.0010793
95,32597.6,2.36267,1.19087,1.11456,0.55904,0.52223,0.45351,0.12404,2.77052,1.5034,1.33113,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
96,32881.9,2.34315,1.18227,1.10444,0.58376,0.54199,0.48503,0.13339,2.78293,1.47468,1.34869,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595
97,33205.4,2.30265,1.15797,1.10047,0.56174,0.51964,0.45234,0.12349,2.81327,1.49676,1.35985,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
98,33543.9,2.31193,1.16374,1.1018,0.57429,0.53121,0.46376,0.12825,2.83517,1.47615,1.38178,0.0031191,0.0010397,0.0031191,0.0010397,0.0031191,0.0010397,0.0031191,0.0010397
99,33884.3,2.3148,1.15896,1.09739,0.56375,0.52154,0.44639,0.11956,2.87024,1.46967,1.384,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
100,34221.3,2.32652,1.16529,1.10257,0.55936,0.53554,0.4494,0.12059,2.85983,1.46431,1.38436,0.0030597,0.0010199,0.0030597,0.0010199,0.0030597,0.0010199,0.0030597,0.0010199
101,34557.1,2.29902,1.1585,1.09969,0.56868,0.52174,0.45111,0.12248,2.91019,1.48076,1.40941,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
102,34895.5,2.33052,1.16376,1.10378,0.54815,0.52737,0.45367,0.12619,2.81472,1.50818,1.36984,0.0030003,0.0010001,0.0030003,0.0010001,0.0030003,0.0010001,0.0030003,0.0010001
103,35230.2,2.34435,1.18178,1.11475,0.54472,0.51289,0.43521,0.1165,2.8806,1.5077,1.39865,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
